INCIDENT_TYPE,IncidentRole,FILENUM,CASENUM,Time Occurred,Date Occurred,OCCURRED_DAY,STREET_N,STREET,CITY,STATE,ZIPCODE,PRECINCT,Incident Precinct,UoF_1,UoF_1_Zones,UoF_1_Effective,UoF_1_Deployed_Only,UoF_1_Arc_Display_Only,UoF_2,UoF_2_Zones,UoF_2_Effective,UoF_2_Deployed_Only,UoF_2_Arc_Display_Only,UoF_3,UoF_3_Zones,UoF_3_Effective,UoF_3_Deployed_Only,UoF_3_Arc_Display_Only,UoF_4,UoF_4_Zones,UoF_4_Effective,UoF_4_Deployed_Only,UoF_4_Arc_Display_Only,UoF_5,UoF_5_Zones,UoF_5_Effective,UoF_5_Deployed_Only,UoF_5_Arc_Display_Only,UoF_6,UoF_6_Zones,UoF_6_Effective,UoF_6_Deployed_Only,UoF_6_Arc_Display_Only,UoF_7,UoF_7_Zones,UoF_7_Effective,UoF_7_Deployed_Only,UoF_7_Arc_Display_Only,UoF_8,UoF_8_Zones,UoF_8_Effective,UoF_8_Deployed_Only,UoF_8_Arc_Display_Only,UoF_9,UoF_9_Zones,UoF_9_Effective,UoF_9_Deployed_Only,UoF_9_Arc_Display_Only,UoF_10,UoF_10_Zones,UoF_10_Effective,UoF_10_Deployed_Only,UoF_10_Arc_Display_Only,CIT_INFL_ASSMT,IN_BLUETEAM,STATUS,LL Used,40MM,BB,BB - OC,OC Can,OC Spray,CS Can,CS,Chem Other,FN303,BlueNose,Sting,NFDD,PB Launch,Baton,Orange,Other Wpn,Total
Level 2 - Use of Force,Officer,2020UOF-0832,2020-178214,16:31:00,5/31/20,Sunday,1102,4 av,seattle,WA,98101,M2 | MARY | WEST,Demonstration,Personal Weapons – Punch/Elbow,14,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Impaired by Alcohol or Drugs,No,Suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Level 1 - Use of Force,Officer,2020UOF-1109,2020-178214,16:17:00,5/31/20,Sunday,,SENECA ST / 4 AV,Seattle,WA,98101,K1 | KING | WEST,Demonstration,Control Hold – Restraint,18,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,No,Suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Level 2 - Use of Force,Officer,2020UOF-0921,2020-178214,16:30:00,5/31/20,Sunday,1200,4th av,Seattle,WA,,K1 | KING | WEST,Demonstration,Chemical Agent – OC Spray,"1, 1",Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,No,Suspended,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0640,2020-178214,16:33:00,5/31/20,Sunday,1102,4 Ave,Seattle,WA,98101,M2 | MARY | WEST,Demonstration,Chemical Agent – OC Spray,"15, 7",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,No,Suspended,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0831,2020-178214,16:33:00,5/31/20,Sunday,,4 Av / Seneca St,Seattle,WA,,M3 | MARY | WEST,Demonstration,Chemical Agent – OC Spray,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,No,Suspended,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0633,2020-178234,16:00:00,5/31/20,Sunday,,4 AV/Cherry ST,Seattle,WA,,K1 | KING | WEST,Demonstration,Control Hold – Takedown,14,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,No,Suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Level 2 - Use of Force,Officer,2020UOF-1436,2020-178234,16:14:00,5/31/20,Sunday,800,4 AV,Seattle,WA,98101,K2 | KING | WEST,Demonstration,Control Hold – Team Takedown,"4, 4",Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Level 1 - Use of Force,Officer,2020UOF-0958,2020-178240,16:41:00,5/31/20,Sunday,1400,Boren,Seattle,WA,98101,E3 | EDWARD | EAST,Demonstration,Control Hold – Takedown,"7, 20, 5, 6, 7, 7",Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Level 1 - Use of Force,Officer,2020UOF-0613,2020-178442,22:30:00,5/31/20,Sunday,400,Pine St,Seattle,WA,98101,M2 | MARY | WEST,Demonstration,Control Hold – Restraint,21,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,No,Completed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Level 1 - Use of Force,Officer,2020UOF-0672,2020-178442,22:00:00,5/31/20,Sunday,400,Pine ST,Seattle,WA,98101,M2 | MARY | WEST,Demonstration,Control Hold – Takedown,20,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,No,Completed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Level 1 - Use of Force,Officer,2020UOF-0715,2020-178442,20:25:00,5/31/20,Sunday,400,Pine St,Seattle,WA,98101,M2 | MARY | WEST,Demonstration,Control Hold – Team Takedown,5,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,No,Completed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Level 2 - Use of Force,,2020UOF-1104,2020-178585,21:00:00,6/1/20,Monday,,1519 12 AV,Seattle,WA,,E2 | EDWARD | EAST,Demonstration,Chemical Agent – OC Spray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,No,Suspended,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0660,2020-178585,21:00:00,6/1/20,Monday,1100,Pine St,Seattle,WA,,E1 | EDWARD | EAST,Demonstration,Chemical Agent – OC Spray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Suspended,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0838,2020-178585,21:15:00,6/1/20,Monday,1100 blk,E Pine St,Seattle,WA,98122,E2 | EDWARD | EAST,Demonstration,Canister - CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,No,Suspended,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Level 1 - Use of Force,Officer,2020UOF-0852,2020-178585,23:00:00,6/1/20,Monday,1600,11 AV,Seattle,WA,98122,E2 | EDWARD | EAST,Demonstration,Balls - Blast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Suspended,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0877,2020-178585,21:00:00,6/1/20,Monday,1100,E Pine St,Seattle,WA,,E2 | EDWARD | EAST,Demonstration,Chemical Agent – OC Spray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,No,Suspended,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0935,2020-178585,21:00:00,6/1/20,Monday,,1100 Block E Pine ST,Seattle,WA,,E1 | EDWARD | EAST,Demonstration,Canister - OC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Suspended,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-1011,2020-178585,17:16:00,6/1/20,Monday,500,Marion St,Seattle,WA,98104,K1 | KING | WEST,Demonstration,Balls - Blast,,,,,Push,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Suspended,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0936,2020-178585,21:10:00,6/1/20,Monday,1100blk,E. Pine St.,Seattle,WA,98408,E1 | EDWARD | EAST,Demonstration,Chemical Agent – OC Spray,,,,,Canister - CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Suspended,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
Level 2 - Use of Force,Officer,2020UOF-0671,2020-178585,21:10:00,6/1/20,Monday,1100,E PIne St,Seattle,WA,,E2 | EDWARD | EAST,Demonstration,Blue Nose Device,,,,,Blue Nose Device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,No,Suspended,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
Level 2 - Use of Force,Officer,2020UOF-0632,2020-178585,21:09:00,6/1/20,Monday,1100,E Pine St,seattle,WA,98122,E2 | EDWARD | EAST,Demonstration,Chemical Agent – OC Spray,,,,,Chemical Agent – OC Spray,,,,,Chemical Agent – OC Spray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,No,Suspended,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
Level 2 - Use of Force,Officer,2020UOF-0628,2020-178585,0:30:00,6/2/20,Tuesday,1000,1100 E Pine St,Seattle,WA,,E2 | EDWARD | EAST,Demonstration,Balls - Blast,,,,,Balls - Blast,,,,,Canister - OC,,,,,Canister - CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Suspended,4,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4
Level 2 - Use of Force,Officer,2020UOF-0606,2020-178585,21:00:00,6/1/20,Monday,1100,E Pine ST,Seattle,WA,,G1 | GEORGE | EAST,Demonstration,Balls - Blast,,,,,Balls - Blast,,,,,FN303,,,,,FN303,,,,,FN303,,,,,FN303,,,,,Balls - Blast,,,,,Balls - Blast,,,,,Canister - CS,,,,,FN303,,,,,,No,Suspended,10,0,4,0,0,0,1,0,0,5,0,0,0,0,0,0,0,10
Level 2 - Use of Force,Officer,2020UOF-1410,2020-178585,21:00:00,6/1/20,Monday,,1100 E Pine St,Seattle,WA,,E2 | EDWARD | EAST,Demonstration,Verbal Commands,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,No,Suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Level 2 - Use of Force,Officer,2020UOF-0604,2020-178585,21:30:00,6/1/20,Monday,1100,Pine St,Seattle,WA,98092,,Demonstration,Sting Ball,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Suspended,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0621,2020-178585,,6/2/20,Tuesday,,11 Av / E Pine St,Seattle,WA,98122,E1 | EDWARD | EAST,Demonstration,Chemical Agent – Other,26,Yes,No,,Personal Weapons – Push,"7, 7",Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Active,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0679,2020-178585,21:10:00,6/1/20,Monday,1100,E Pine St,Seattle,WA,,E2 | EDWARD | EAST,Demonstration,Chemical Agent – Other,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,No,Suspended,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0850,2020-178585,21:20:00,6/1/20,Monday,1000,E Pine St,Seattle,WA,98122,E2 | EDWARD | EAST,Demonstration,Chemical Agent – Other,26,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,No,Suspended,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0913,2020-178585,21:00:00,6/1/20,Monday,1100 blk,Pine ST,Seattle,WA,98108,E2 | EDWARD | EAST,Demonstration,Chemical Agent – Other,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Suspended,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0952,2020-178585,21:12:00,6/1/20,Monday,,11 Ave E / E Pine St,Seattle,WY,,,Demonstration,Chemical Agent – Other,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Suspended,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0614,2020-178585,21:00:00,6/1/20,Monday,1100,Pine St,Seattle,WA,98122,E3 | EDWARD | EAST,Demonstration,Chemical Agent – OC Spray,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,No,Suspended,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0712,2020-178585,21:10:00,6/1/20,Monday,1100,E Pine St,Seattle,WA,98122,E2 | EDWARD | EAST,Demonstration,Chemical Agent – OC Spray,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,No,Suspended,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0751,2020-178585,21:00:00,6/1/20,Monday,,11 Av / Pine St,Seattle,WA,,E2 | EDWARD | EAST,Demonstration,Chemical Agent – OC Spray,"7, 1",Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,No,Suspended,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0586,2020-178585,21:00:00,6/1/20,Monday,1519,12 AV,Seattle,WA,98122,E2 | EDWARD | EAST,Demonstration,Balls - OC,26,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Suspended,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0587,2020-178585,21:05:00,6/1/20,Monday,1100,E Pine St,Seattle,WA,98124,E2 | EDWARD | EAST,Demonstration,Chemical Agent – OC Spray,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,No,Suspended,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0605,2020-178585,21:00:00,6/1/20,Monday,,11 Av/E Pine St,Seattle,WA,,E2 | EDWARD | EAST,Demonstration,Chemical Agent – OC Spray,"1, 1, 2, 1, 1",Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,No,Suspended,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0607,2020-178585,21:00:00,6/1/20,Monday,1100,E PINE ST,Seattle,WA,98122,,Demonstration,Other Weapon - Other,"10, 10, 12, 12",Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,No,Suspended,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Level 2 - Use of Force,Officer,2020UOF-0615,2020-178585,21:20:00,6/1/20,Monday,1110,E Pine ST,seattle,WA,,E2 | EDWARD | EAST,Demonstration,Balls - OC,26,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Suspended,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0657,2020-178585,21:15:00,6/1/20,Monday,,1519 12 Av,Seattle,WA,,E2 | EDWARD | EAST,Demonstration,Blue Nose Device,"12, 22",Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,No,Suspended,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0681,2020-178585,21:10:00,6/1/20,Monday,1100,E Pine ST,Seattle,WA,,E2 | EDWARD | EAST,Demonstration,Chemical Agent – OC Spray,26,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Suspended,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0702,2020-178585,21:05:00,6/1/20,Monday,1100,E Pine St,Seattle,WA,98122,E2 | EDWARD | EAST,Demonstration,Chemical Agent – OC Spray,"17, 24, 4, 14, 20, 16, 18, 19, 1, 7, 9, 5, 6, 3",Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,No,Suspended,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0703,2020-178585,21:00:00,6/1/20,Monday,11 AV,E Pine ST,Seattle,WA,,E1 | EDWARD | EAST,Demonstration,Chemical Agent – OC Spray,"1, 14",Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,No,Suspended,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0718,2020-178585,21:30:00,6/1/20,Monday,1640,11 av,Seattle,WA,98122,E2 | EDWARD | EAST,Demonstration,Balls - OC,26,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,No,Suspended,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0834,2020-178585,21:04:00,6/1/20,Monday,,11 av /  Pine st,Seattle,WA,,E2 | EDWARD | EAST,Demonstration,Chemical Agent – OC Spray,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,No,Suspended,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0851,2020-178585,21:10:00,6/1/20,Monday,1110,E Pine St,Seattle,WA,,E2 | EDWARD | EAST,Demonstration,Chemical Agent – OC Spray,7,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,No,Suspended,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0901,2020-178585,21:00:00,6/1/20,Monday,,11 AV / E PINE ST,SEATTLE,WA,,E2 | EDWARD | EAST,Demonstration,Chemical Agent – OC Spray,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,No,Suspended,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0912,2020-178585,20:00:00,6/1/20,Monday,,11 AV / E PINE ST,SEATTLE,WA,98123,E2 | EDWARD | EAST,Demonstration,Chemical Agent – OC Spray,"1, 14",Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Impaired by Alcohol or Drugs,No,Suspended,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0937,2020-178585,21:00:00,6/1/20,Monday,1100,PINE ST,SEATTLE,WA,98101,E1 | EDWARD | EAST,Demonstration,Balls - Blast,26,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,No,Suspended,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0959,2020-178585,21:15:00,6/1/20,Monday,1100,E Pine St,Seattle,WA,98122,E2 | EDWARD | EAST,Demonstration,Chemical Agent – OC Spray,"1, 7, 7, 7, 8",Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Suspended,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-1002,2020-178585,21:30:00,6/1/20,Monday,1100,Pine,,WA,98101,E1 | EDWARD | EAST,Demonstration,Balls - OC,26,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,No,Suspended,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-1054,2020-178585,21:00:00,6/1/20,Monday,1519,12 AV,Seattle,WA,,E2 | EDWARD | EAST,Demonstration,Chemical Agent – OC Spray,26,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Suspended,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-1664,2020-178585,21:30:00,6/1/20,Monday,,1100 E Pine St,Seattle,WA,,E2 | EDWARD | EAST,Demonstration,Verbal Commands,,Yes,Yes,,Chemical Agent – OC Spray,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,No,Suspended,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-1757,2020-178585,22:00:00,6/1/20,Monday,1600,11 Av,Seattle,WA,,E2 | EDWARD | EAST,Demonstration,Balls - Blast,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Suspended,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0658,2020-178585,,6/1/20,Monday,,11 Av /  E Pine St,Seattle,WA,,E2 | EDWARD | EAST,Demonstration,Balls - Blast,,Yes,Yes,,Chemical Agent – Other,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,No,Suspended,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Level 2 - Use of Force,Officer,2020UOF-0676,2020-178585,21:00:00,6/1/20,Monday,1100,E Pine St,Seattle,WA,98122,E2 | EDWARD | EAST,Demonstration,Balls - Blast,,Yes,Yes,,Chemical Agent – Other,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Suspended,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Level 2 - Use of Force,Officer,2020UOF-0680,2020-178585,21:00:00,6/1/20,Monday,1519,12 Av,Seattle,WA,,,Demonstration,Balls - Blast,26,Yes,No,,Chemical Agent – Other,26,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Initial,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Level 2 - Use of Force,Officer,2020UOF-0747,2020-178585,21:04:00,6/1/20,Monday,1100,E Pine St,Seattle,WA,98122,E2 | EDWARD | EAST,Demonstration,Balls - Blast,26,Yes,No,,Chemical Agent – Other,26,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,No,Suspended,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Level 2 - Use of Force,Officer,2020UOF-0839,2020-178585,21:00:00,6/1/20,Monday,1519,12 av,seattle,WA,98122,E2 | EDWARD | EAST,Demonstration,Balls - Blast,26,Yes,No,,Chemical Agent – Other,26,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Initial,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Level 2 - Use of Force,Officer,2020UOF-0900,2020-178585,,6/1/20,Monday,1100,E Pine St,Seattle,WA,98122,E2 | EDWARD | EAST,Demonstration,Balls - OC,13,No,No,,Chemical Agent – Other,11,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,No,Suspended,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Level 2 - Use of Force,Officer,2020UOF-0667,2020-178585,21:04:00,6/1/20,Monday,1519,12 av,Seattle,WA,98122,E2 | EDWARD | EAST,Demonstration,Balls - Blast,26,Yes,No,,Chemical Agent – OC Spray,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,No,Suspended,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
Level 2 - Use of Force,Officer,2020UOF-0717,2020-178585,21:10:00,6/1/20,Monday,,11th Ave / E Pine St Vicinity,Seattle,WA,,,Demonstration,Chemical Agent – OC Spray,1,Yes,No,,Balls - OC,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Suspended,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
Level 2 - Use of Force,Officer,2020UOF-0677,2020-178585,21:00:00,6/1/20,Monday,1100,E Pine ST,Seattle,WA,98122,E3 | EDWARD | EAST,Demonstration,Balls - Blast,26,Yes,No,,Blue Nose Device,12,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,No,Suspended,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
Level 2 - Use of Force,Officer,2020UOF-0748,2020-178585,21:00:00,6/1/20,Monday,1100,E Pine St,,,,,Demonstration,Balls - OC,26,Yes,No,,Blue Nose Device,"10, 12, 22, 24, 26",Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Suspended,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
Level 2 - Use of Force,Officer,2020UOF-0750,2020-178585,23:34:00,6/1/20,Monday,1600 blk,11 Av,Seattle,WA,98122,E3 | EDWARD | EAST,Demonstration,Blue Nose Device,12,Yes,No,,Blue Nose Device,22,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,No,Suspended,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
